window_index,observed_min_entropy,predicted_min_entropy
0,1.5405683813627027,1.5906090638623005
1,1.4301443916690522,1.5379066644161823
2,1.4301443916690522,1.5191637482123832
3,1.5081469036703252,1.431827703302537
4,1.4454111483223626,1.5009558232120273
5,1.5405683813627027,1.522708635347547
6,1.3852901558847919,1.414048504936007
7,1.573735245297902,1.5388272878168114
8,1.3706433799203903,1.4740382213222332
9,1.3706433799203903,1.480829426046305
10,1.3852901558847919,1.5010419797536023
11,1.3275746580285044,1.4932454318563084
12,1.5405683813627027,1.50801052411072
13,1.4764380439429872,1.5413971727167168
14,1.4000871578128724,1.4728414623339858
15,1.3561438102252754,1.564229353889483
16,1.4000871578128724,1.4086034873998925
17,1.5405683813627027,1.4260327619607398
18,1.3561438102252754,1.5424331398011972
19,1.573735245297902,1.2642728850470084
20,1.5405683813627027,1.4810394649882845
21,1.4454111483223626,1.437631885823742
22,1.4922053598013036,1.4854347681158049
23,1.5081469036703252,1.445753800736319
24,1.4000871578128724,1.4973317169874916
25,1.415037499278844,1.5526682683446436
26,1.3852901558847919,1.5128215266201668
27,1.4922053598013036,1.4911049383200696
28,1.5405683813627027,1.5218519675755724
29,1.4922053598013036,1.4583066813200798
30,1.5242665690336021,1.5682982516828323
31,1.5242665690336021,1.4425388428576658
32,1.5242665690336021,1.4681965943977309
33,1.5570565041512716,1.4790483985912246
34,1.5081469036703252,1.5317133858720373
35,1.5405683813627027,1.5051817427604974
36,1.4000871578128724,1.4359052201567963
37,1.4764380439429872,1.5593591849742958
38,1.5081469036703252,1.4998789090694875
39,1.3561438102252754,1.5236773661539635
40,1.3134994728167817,1.5269267601310557
41,1.4764380439429872,1.4930139514314753
42,1.5405683813627027,1.4597057352484197
43,1.5081469036703252,1.5806956787504147
44,1.3417885172482054,1.5344840031178493
45,1.4922053598013036,1.4861246058835398
46,1.573735245297902,1.4966441282646257
47,1.4608411888919686,1.5122637705167725
48,1.4922053598013036,1.5057571720790257
49,1.4764380439429872,1.5596031083585153
50,1.3852901558847919,1.4900548494525194
51,1.3706433799203903,1.5583330753584959
52,1.3852901558847919,1.538709379737339
53,1.5405683813627027,1.52391725154572
54,1.5242665690336021,1.5100153819436786
55,1.4764380439429872,1.5304266790539107
56,1.4764380439429872,1.54228512220459
57,1.5081469036703252,1.5052122238370393
58,1.4454111483223626,1.5289676061901905
59,1.3852901558847919,1.5467611400779966
60,1.3417885172482054,1.52177179711374
61,1.4454111483223626,1.5362123508792662
62,1.4764380439429872,1.5138906868591486
63,1.4922053598013036,1.557288678814335
64,1.3417885172482054,1.5376794873214292
65,1.3706433799203903,1.5190401217287928
66,1.5570565041512716,1.5580053193764136
67,1.4454111483223626,1.4709734695407732
68,1.4000871578128724,1.5549771586760037
69,1.3706433799203903,1.5606379195927436
70,1.4454111483223626,1.5717809148342927
71,1.2857544823338773,1.497967465154099
72,1.5242665690336021,1.4783082728641201
73,1.5242665690336021,1.5755376819669755
74,1.4454111483223626,1.564520027990605
75,1.3852901558847919,1.5090014004604215
76,1.3275746580285044,1.5772291115617862
77,1.4764380439429872,1.5545691465381455
78,1.5570565041512716,1.5301774309799476
79,1.4454111483223626,1.5448103109483788
80,1.3852901558847919,1.540546389136493
81,1.4000871578128724,1.5676286972772315
82,1.415037499278844,1.5184173432589463
83,1.5405683813627027,1.5188291456530947
84,1.4922053598013036,1.5743183901645323
85,1.5570565041512716,1.5295672334436632
86,1.5405683813627027,1.5174194673118102
87,1.5242665690336021,1.5211628118862661
88,1.4922053598013036,1.5679105747104138
89,1.5570565041512716,1.5139768817547554
90,1.5242665690336021,1.5229608961274446
91,1.3852901558847919,1.5263031364371553
92,1.3417885172482054,1.538971246675758
93,1.5405683813627027,1.537901331976059
94,1.3706433799203903,1.5706704272062317
95,1.5081469036703252,1.5708481061212514
96,1.4608411888919686,1.569849950631293
97,1.4454111483223626,1.5533831811317225
98,1.5405683813627027,1.4926612561834425
99,1.4922053598013036,1.581338018170549
100,1.4764380439429872,1.5232777329412985
101,1.415037499278844,1.5436693536617283
102,1.3417885172482054,1.5405906519637123
103,1.4608411888919686,1.5706047060776775
104,1.4301443916690522,1.5569888772093345
105,1.5242665690336021,1.5341222862150001
106,1.4922053598013036,1.546970703976534
107,1.4764380439429872,1.5582272661963545
108,1.4608411888919686,1.5665551262311705
109,1.5081469036703252,1.5789051237268392
110,1.3561438102252754,1.5004215495051954
111,1.4454111483223626,1.5616756348822673
112,1.4000871578128724,1.5307218834653813
113,1.5081469036703252,1.537771552101847
114,1.4000871578128724,1.561117368203013
115,1.4608411888919686,1.5626630317459465
116,1.4301443916690522,1.5633521270898438
117,1.5570565041512716,1.5396192915624878
118,1.4000871578128724,1.5531564470677377
119,1.5081469036703252,1.5789485658279125
120,1.4608411888919686,1.5527192051977672
121,1.4454111483223626,1.507699425845524
122,1.3852901558847919,1.5202787978115742
123,1.5242665690336021,1.5600444092149086
